category_id,category_name,slug,image_filename,image_source,image_status,qa_status,notes
hoses,"Hoses",hoses,hoses.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
seals-seal-kits,"Seals & Seal Kits",seals-seal-kits,seals-seal-kits.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
shim-spacer-washer,"Shim / Spacer / Washer",shim-spacer-washer,shim-spacer-washer.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
electrical-parts,"Electrical Parts",electrical-parts,electrical-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
cabin-parts,"Cabin Parts",cabin-parts,cabin-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
engine-parts,"Engine Parts",engine-parts,engine-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
filters,"Filters",filters,filters.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
pins,"Pins",pins,pins.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
gasket,"Gasket",gasket,gasket.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
cables,"Cables",cables,cables.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
bushes-bearing-liners,"Bushes / Bearing Liners",bushes-bearing-liners,bushes-bearing-liners.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
bearings,"Bearings",bearings,bearings.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
transmission-gear-parts,"Transmission & Gear Parts",transmission-gear-parts,transmission-gear-parts.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
hydraulic-pump-drive,"Hydraulic / Pump Drive",hydraulic-pump-drive,hydraulic-pump-drive.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
bucket-parts,"Bucket Parts",bucket-parts,bucket-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
greasing,"Greasing",greasing,greasing.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
light-lenses,"Light & Lenses",light-lenses,light-lenses.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
body-parts,"Body Parts",body-parts,body-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
axle-wheel-parts,"Axle & Wheel Parts",axle-wheel-parts,axle-wheel-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
brake-parts,"Brake Parts",brake-parts,brake-parts.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
solenoid,"Solenoid",solenoid,solenoid.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
wear-pads-wear-plates,"Wear Pads / Wear Plates",wear-pads-wear-plates,wear-pads-wear-plates.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
uj-cross-spider-kit,"U.J. Cross / Spider Kit",uj-cross-spider-kit,uj-cross-spider-kit.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
torque-converter,"Torque Converter",torque-converter,torque-converter.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
column-switch,"Column Switch",column-switch,column-switch.webp,gemini_generated_representation,verified,verified,"Original Gemini-generated representative industrial studio photography."
transmission-pumps,"Transmission & Pumps",transmission-pumps,transmission-pumps.webp,rre_composite_catalog,verified,verified,"Enhanced composite of verified RRE catalog spare parts with studio shadow depth."
